X,Y,CONFIDENCE
best buy,jetblue,0.004987531172069825
google.com,www.google.com,0.09394572025052192
google.com,screen names,0.004523312456506611
best buy,ikea,0.032418952618453865
google.com,limewire,0.008002783576896311
travelocity,yahoo,0.08884297520661158
my space.com,myspace,0.18717948717948718
my space.com,orbitz,0.01282051282051282
my space.com,travelocity,0.017948717948717947
my space.com,yahoo mail,0.017948717948717947
google.com,mapquest.com,0.05497564370215727
google.com,weather.com,0.014961725817675714
.com,web md,0.009017132551848514
best buy,disneychannel.com,0.00997506234413965
staples,target.com,0.04761904761904762
mapquest.com,myspace.com,0.08285385500575375
google.com,mhttp,0.011830201809324984
google.com,orbitz.com,0.011830201809324984
google.com,www.http,0.004175365344467641
google.com,zillow.com,0.005915100904662492
google.com,walmart.com,0.016701461377870565
msn,yahoo.com,0.1407563025210084
qvc.com,yahoo.com,0.11842105263157895
.com,weather,0.025247971145175834
www.google.com,zip codes,0.004910988336402701
staples,verizon wireless,0.053571428571428575
best buy,web md,0.029925187032418955
best buy,paypal,0.032418952618453865
best buy,ebay,0.2169576059850374
best buy,jcpenney,0.022443890274314215
best buy,www.walmart.com,0.007481296758104739
best buy,sams club,0.06483790523690773
best buy,kmart,0.054862842892768084
travelocity,white pages,0.03305785123966942
travelocity,ups,0.026859504132231402
travelocity,walmart,0.05991735537190083
jcpenney,map quest,0.06666666666666667
jcpenney,webmd,0.04
hotels,profileedit.myspace.com,0.012048192771084336
monster.com,recent,0.015094339622641511
monster.com,www.myspace,0.011320754716981133
jetblue,ups,0.028571428571428574
web md,webmd,0.14655172413793105
msn,realtor.com,0.008403361344537815
msn,myspace.com,0.0861344537815126
united airlines,ups,0.021660649819494587
craigslist,movies,0.006289308176100628
baby names,www.mysapce.com,0.013513513513513514
.com,walmart,0.025247971145175834
.com,dell.com,0.008115419296663661
.com,united airlines,0.0063119927862939585
.com,costco,0.012623985572587917
.com,amazon,0.009017132551848514
.com,mys,0.012623985572587917
.com,yahoo mail,0.00721370604147881
best buy,office depot,0.06982543640897755
best buy,e-bay,0.012468827930174564
staples,verizon,0.05952380952380953
best buy,verizon,0.05236907730673317
best buy,www.google.com,0.022443890274314215
best buy,my space,0.05236907730673317
hotels,www.ebay,0.030120481927710843
google.com,porn,0.011134307585247041
google.com,target,0.015309672929714684
monster.com,zillow.com,0.011320754716981133
google.com,kmart,0.003827418232428671
mapquest.com,sears,0.013808975834292291
mapquest.com,monster.com,0.028768699654775604
google.com,recipes,0.005915100904662492
google.com,sears.com,0.008002783576896311
google.com,usps,0.005915100904662492
hotels,jetblue,0.012048192771084336
hotels,jet blue,0.024096385542168672
hotels,irs.gov,0.018072289156626505
hotels,weather,0.07831325301204818
google.com,movies,0.008002783576896311
google.com,h,0.009394572025052192
google.com,my,0.019485038274182322
monster.com,travel,0.01886792452830189
monster.com,travelocity,0.015094339622641511
mapquest.com,sams club,0.005753739930955121
google.com,sams club,0.004523312456506611
my space.com,united airlines,0.007692307692307692
my space.com,paypal,0.007692307692307692
mapquest.com,usps,0.013808975834292291
mapquest.com,southwest airlines,0.025316455696202535
mapquest.com,recipes,0.004602991944764097
hotels,usps,0.024096385542168672
monster.com,verizon wireless,0.007547169811320756
monster.com,staples,0.011320754716981133
monster.com,pogo.com,0.022641509433962266
united airlines,www.yahoo.com,0.01444043321299639
